[3;2] Imag,5.825e-05,5.91027e-05,7.48901e-05,0.000133086,0.000132347,4.04714e-05,-4.40084e-05,-5.33483e-05,-3.51514e-05,-5.50049e-05,-9.53464e-05,-8.64124e-05,-1.75575e-05,3.64486e-05,3.29032e-05,2.83964e-05,5.65047e-05,4.67021e-05,-3.03939e-05,-7.57199e-05,-3.48076e-05,1.46941e-05,4.56231e-05,0.00012452,0.000198615,0.000123995,-3.89958e-05,-7.61703e-05,1.34628e-05,3.56666e-05,-3.22308e-05,-3.40949e-05,4.4488e-05,6.76842e-05,1.53526e-05,-7.33706e-06,2.83698e-05,6.61857e-05,9.62512e-05,0.000141904,0.000168304,0.000122243,3.6294e-05,3.76347e-06,4.68733e-05,8.35433e-05,5.81469e-05,3.07076e-05,6.67097e-05,0.000114262,9.56281e-05,5.01021e-05,5.74801e-05,8.22925e-05,3.64804e-05,-5.25492e-05,-7.84109e-05,-2.54672e-05,2.25493e-05,1.67425e-05,-1.28581e-05,-2.21894e-05,4.46114e-06,4.76643e-05,4.16677e-05,9.69306e-06,-3.06296e-05,-2.2289e-05,-1.22163e-05,-3.35547e-05,-3.16603e-05,8.59436e-06,1.83512e-05,-2.43109e-05,-5.29696e-05,-2.46518e-05,2.63723e-05,4.79757e-05,1.81018e-05,-5.26874e-05,-0.00012345,-0.000140403,-8.0077e-05,1.85331e-05,7.30844e-05,3.83004e-05,-2.46203e-05,-1.3928e-05,6.30959e-05,0.000100039,7.14275e-05,6.20188e-05,8.25955e-05,4.02567e-05,-5.75709e-05,-7.92478e-05,-5.36636e-06,2.90451e-05,-2.65506e-05,-7.52828e-05,-7.11176e-05,-6.73e-05,-6.61854e-05,-1.58074e-05,6.1129e-05,9.49749e-05,8.29812e-05,5.51283e-05,5.31488e-06,-4.31657e-05,-1.11758e-05,9.83892e-05,0.00015347,8.24654e-05,-1.14994e-05,-2.556e-05,-9.45189e-06,-2.94783e-05,-3.12206e-05,2.44784e-05,4.16575e-05,-4.20124e-05,-0.000114966,-7.02139e-05,2.14354e-05,5.06362e-05,3.37429e-05,2.40881e-05
[3;3] Real,2.06752e-05,1.43962e-05,-4.56326e-06,7.12185e-06,2.98252e-05,1.92443e-05,5.28953e-06,5.49557e-05,0.00014094,0.000151236,4.77483e-05,-7.56668e-05,-0.00011916,-8.88063e-05,-5.65132e-05,-5.72914e-05,-5.93266e-05,-3.08748e-05,-7.43637e-06,-4.28248e-05,-0.000101181,-9.11574e-05,-2.53054e-05,-2.12289e-05,-0.000102962,-0.000144376,-7.40416e-05,1.01086e-05,9.472e-06,-3.29628e-05,-4.51025e-05,-4.49203e-05,-5.56535e-05,-3.43742e-05,1.92221e-05,1.76477e-05,-5.51431e-05,-8.94496e-05,-5.08496e-05,-5.64438e-05,-0.000142893,-0.000164876,-5.10816e-05,5.2608e-05,2.4833e-05,-5.45131e-05,-7.82439e-05,-6.19252e-05,-4.31225e-05,-1.80122e-05,-1.4421e-05,-6.22222e-05,-0.000104534,-7.90787e-05,-2.64689e-05,-9.31657e-06,-2.26718e-05,-4.58254e-05,-5.83905e-05,-9.83109e-06,8.67145e-05,0.000113666,4.40908e-05,1.00091e-05,-2.34322e-05,3.814e-05,5.90309e-05,5.47793e-05,3.30193e-05,-2.42951e-05,-8.6816e-05,-7.17985e-05,3.49199e-05,0.0001175,6.16901e-05,-7.84221e-05,-0.000132653,-4.53189e-05,5.28086e-05,5.43689e-05,2.73182e-05,5.88217e-05,8.86981e-05,3.83947e-05,-2.84546e-05,-3.00293e-05,-1.97746e-05,-5.87546e-05,-7.16169e-05,5.28025e-06,6.81501e-05,9.87624e-06,-8.67505e-05,-8.89441e-05,-2.70268e-05,-4.49246e-06,-1.00469e-05,2.46083e-05,8.20282e-05,0.000107205,0.000104969,9.36867e-05,5.91574e-05,1.6393e-05,1.45718e-05,4.79619e-05,6.31352e-05,5.32964e-05,4.22265e-05,9.08158e-06,-5.86554e-05,-9.3504e-05,-4.51147e-05,2.18587e-05,3.24874e-05,1.16901e-05,1.24904e-06,-1.32954e-05,-2.41027e-05,6.98892e-06,3.84817e-05,-5.91479e-06,-7.80866e-05,-6.49377e-05,2.10712e-05,7.51091e-05,6.44036e-05,2.42964e-05
[3;3] Imag,2.19966e-05,3.15992e-06,-3.13948e-06,2.06321e-05,2.91833e-05,7.62812e-06,2.05439e-05,0.000100317,0.000161425,0.000109714,-1.93659e-05,-0.000109423,-0.000109326,-6.91469e-05,-5.31363e-05,-6.12698e-05,-4.88974e-05,-1.39323e-05,-1.68634e-05,-7.57304e-05,-0.000107961,-5.80037e-05,-9.6657e-06,-5.75881e-05,-0.000137077,-0.000120122,-2.49161e-05,2.10418e-05,-1.25569e-05,-4.40891e-05,-4.33792e-05,-5.02768e-05,-5.20034e-05,-7.21729e-06,3.04939e-05,-1.53041e-05,-8.39841e-05,-7.36196e-05,-4.0649e-05,-9.63311e-05,-0.000171769,-0.000119458,1.38318e-05,5.43446e-05,-1.73442e-05,-7.52733e-05,-7.15941e-05,-5.2367e-05,-3.10331e-05,-1.05823e-05,-3.31736e-05,-8.96741e-05,-0.000100309,-5.09048e-05,-1.22584e-05,-1.41837e-05,-3.34907e-05,-5.60669e-05,-4.44621e-05,3.87164e-05,0.000115919,8.42144e-05,1.43496e-05,2.71676e-05,1.11886e-05,5.34536e-05,5.86528e-05,4.72776e-05,8.86918e-06,-5.98322e-05,-9.32538e-05,-2.50913e-05,8.92248e-05,0.000108196,-8.62352e-06,-0.000124627,-0.000101049,1.24375e-05,6.48836e-05,3.67644e-05,3.60766e-05,8.10034e-05,7.31237e-05,-3.16029e-07,-3.74161e-05,-1.98645e-05,-3.47356e-05,-7.60251e-05,-4.14818e-05,4.88937e-05,5.32939e-05,-4.45076e-05,-0.000101795,-5.82486e-05,-8.58802e-06,-8.81166e-06,1.23584e-06,5.44526e-05,9.96539e-05,0.000107803,0.000101054,7.97485e-05,3.55781e-05,8.59363e-06,3.02982e-05,6.02194e-05,5.92099e-05,4.77306e-05,3.12117e-05,-2.28996e-05,-8.62088e-05,-7.80998e-05,-6.88629e-06,3.46811e-05,2.17738e-05,5.50043e-06,-4.29652e-06,-2.23527e-05,-1.37163e-05,2.8859e-05,2.63122e-05,-4.65014e-05,-8.52907e-05,-2.47904e-05,5.68245e-05,7.63867e-05,4.59558e-05,4.05673e-07
[3;4] Real,-4.36471e-05,1.42256e-05,-1.56271e-05,-5.75581e-05,-1.62151e-05,3.57418e-05,-2.53158e-06,-6.52874e-05,-4.73189e-05,-1.62751e-06,-2.74101e-05,-7.27336e-05,-3.05606e-05,5.81488e-05,6.92468e-05,3.67151e-06,-1.97543e-05,4.37365e-05,0.000100695,6.86191e-05,1.07237e-05,4.7651e-05,0.000156111,0.000177314,6.46537e-05,-3.21546e-05,-9.20865e-06,4.68724e-05,4.97715e-05,4.6589e-05,7.4896e-05,9.16088e-05,8.89857e-05,9.04072e-05,5.92396e-05,-1.39227e-05,-4.11888e-05,-7.09883e-07,5.54867e-06,-4.4335e-05,-5.77238e-05,-3.52547e-05,-6.02186e-05,-0.000104392,-8.81328e-05,-4.79931e-05,-4.367e-05,-4.11918e-05,-2.20417e-05,-2.23278e-05,-1.53656e-05,3.25125e-05,3.52501e-05,-5.81971e-05,-0.000113248,-3.65431e-05,4.18869e-05,1.3573e-05,-2.19485e-05,1.74934e-05,4.71909e-05,1.9153e-05,1.87238e-05,7.55634e-05,4.71574e-05,7.74192e-06,5.90918e-06,6.4509e-05,8.41985e-05,1.02889e-05,-4.28297e-05,1.90983e-05,9.30132e-05,4.78329e-05,-6.39323e-05,-0.000111389,-7.85857e-05,-3.48352e-05,-1.78835e-05,-1.85532e-05,-1.55652e-06,6.41242e-05,0.000135596,0.000121652,2.77381e-05,-3.74234e-05,-2.89528e-05,1.39242e-06,3.39972e-05,8.54722e-05,0.000118128,9.15067e-05,4.33828e-05,1.33022e-05,-1.99371e-05,-6.29193e-05,-8.49722e-05,-8.64377e-05,-7.98283e-05,-4.21859e-05,2.31144e-05,6.44807e-05,7.70463e-05,9.70923e-05,0.000100087,5.18501e-05,5.91266e-06,-1.87415e-07,-2.61638e-05,-7.41654e-05,-4.29987e-05,5.31581e-05,6.63127e-05,-9.57488e-06,-2.68477e-05,2.2598e-05,5.9779e-06,-7.02657e-05,-7.5781e-05,-9.16429e-06,1.76402e-05,-1.94836e-05,-5.08618e-05,-2.53479e-05,5.403e-05,0.000116964,7.60487e-05,-1.73427e-05
[3;4] Imag,-6.39524e-06,8.99077e-06,-4.38224e-05,-4.64905e-05,1.71466e-05,2.7905e-05,-3.94797e-05,-6.74434e-05,-1.98351e-05,-4.29574e-06,-5.61136e-05,-6.48416e-05,1.68111e-05,7.80461e-05,3.89151e-05,-1.99461e-05,5.10855e-06,8.0724e-05,9.52982e-05,3.43151e-05,1.37419e-05,0.000102029,0.00018633,0.000131037,2.85678e-06,-3.32968e-05,2.34482e-05,5.38285e-05,4.41695e-05,5.92324e-05,8.69101e-05,9.00808e-05,9.05083e-05,8.22342e-05,2.31539e-05,-3.84489e-05,-2.38229e-05,1.19949e-05,-1.77842e-05,-5.92509e-05,-4.53358e-05,-4.00636e-05,-8.60104e-05,-0.00010462,-6.58153e-05,-4.14844e-05,-4.51871e-05,-3.17584e-05,-1.92575e-05,-2.36652e-05,6.19108e-06,4.67172e-05,-4.31572e-06,-0.000101557,-8.73928e-05,1.4305e-05,3.84475e-05,-1.29065e-05,-8.53861e-06,4.06144e-05,3.60848e-05,1.00315e-05,4.46773e-05,9.89883e-05,2.83978e-05,-2.4778e-06,3.16441e-05,8.68799e-05,5.49838e-05,-2.91868e-05,-2.38902e-05,6.61214e-05,8.63193e-05,-9.22806e-06,-9.97792e-05,-0.000101085,-5.46758e-05,-2.25355e-05,-1.75267e-05,-1.54398e-05,2.55541e-05,0.000105567,0.000142463,7.8492e-05,-1.42864e-05,-4.01498e-05,-1.34179e-05,1.61571e-05,5.79816e-05,0.000107948,0.000111893,6.62667e-05,2.60001e-05,-9.57623e-07,-4.16513e-05,-7.80836e-05,-8.7004e-05,-8.45757e-05,-6.64036e-05,-1.02959e-05,4.94231e-05,7.17546e-05,8.54019e-05,0.00010466,8.11454e-05,2.32876e-05,3.09723e-07,-6.41368e-06,-5.35865e-05,-7.3198e-05,6.43656e-06,7.67446e-05,3.00643e-05,-3.19146e-05,-1.7188e-06,2.7458e-05,-3.32993e-05,-8.66143e-05,-4.4602e-05,1.41512e-05,3.64656e-06,-4.05235e-05,-4.65901e-05,1.06794e-05,9.43926e-05,0.000110526,2.56463e-05,-2.92718e-05
[3;5] Real,-0.0001384,-8.26778e-05,2.13105e-05,4.50159e-05,3.44612e-05,6.66463e-05,8.82875e-05,2.81343e-05,-6.60762e-05,-0.000109778,-9.55706e-05,-5.34825e-05,3.52223e-06,4.6607e-05,4.01406e-05,8.2115e-06,-1.10969e-07,-4.10363e-06,-4.84628e-05,-9.61042e-05,-7.87788e-05,-2.7856e-05,-3.85926e-05,-0.000112223,-0.000140327,-7.19696e-05,-7.71234e-06,-5.5485e-05,-0.000154604,-0.000160892,-7.1751e-05,-1.0937e-05,-9.42322e-06,1.01474e-05,4.24784e-05,3.17093e-06,-8.3463e-05,-0.000109079,-7.82207e-05,-8.30313e-05,-0.000116748,-0.000103293,-6.41038e-05,-7.26131e-05,-9.87158e-05,-7.2178e-05,-3.57401e-05,-6.38425e-05,-0.000106412,-9.08659e-05,-8.14521e-05,-0.000140632,-0.000158366,-4.65378e-05,5.1199e-05,-2.38929e-06,-7.69867e-05,-2.12835e-05,5.36864e-05,1.35428e-05,-3.3158e-05,2.76953e-05,8.66951e-05,4.71003e-05,1.49439e-05,4.90508e-05,0.000138661,9.55571e-05,-7.90706e-05,-0.000162518,-7.32602e-05,3.97694e-05,6.46587e-05,2.94501e-05,-3.42738e-05,-0.0001207,-0.000167502,-0.000114248,-2.83327e-05,-2.83424e-05,-9.62151e-05,-0.000115279,-7.48864e-05,-5.40768e-05,-2.97531e-05,6.98612e-05,0.000158905,0.000105685,-1.21707e-05,-4.345e-05,-3.66528e-05,-8.70173e-05,-9.40149e-05,2.2981e-05,9.27607e-05,-2.7874e-05,-0.000185371,-0.000192021,-0.000109535,-7.86221e-05,-9.57321e-05,-8.97834e-05,-4.73966e-05,-4.46098e-06,-4.21727e-06,-4.13753e-05,-4.35851e-05,8.11448e-06,2.45876e-05,-1.12701e-05,1.82684e-05,0.000126694,0.000160288,7.52559e-05,7.34058e-06,1.99196e-05,5.37983e-05,8.98307e-05,0.000115794,6.08439e-05,-4.44825e-05,-6.0222e-05,-3.44447e-06,-2.52058e-05,-8.90462e-05,-3.01559e-05,9.73372e-05,0.000105464
[3;5] Imag,-0.000128108,-2.51563e-05,4.44519e-05,3.65919e-05,4.55166e-05,8.55266e-05,6.81969e-05,-2.11151e-05,-9.66062e-05,-0.000108013,-7.6961e-05,-2.55093e-05,2.95678e-05,4.94617e-05,2.38918e-05,4.99123e-07,6.95123e-07,-2.11767e-05,-7.68756e-05,-9.68975e-05,-5.1316e-05,-2.15498e-05,-7.33775e-05,-0.000138887,-0.000114525,-2.996e-05,-1.7225e-05,-0.000108347,-0.000174203,-0.00012138,-3.17824e-05,-6.78253e-06,-5.32847e-06,3.01067e-05,3.45003e-05,-4.14322e-05,-0.000107866,-9.44857e-05,-7.30122e-05,-0.000101843,-0.0001176,-8.12074e-05,-6.15275e-05,-8.91602e-05,-9.21226e-05,-4.90525e-05,-4.1858e-05,-8.97248e-05,-0.000105084,-7.851e-05,-0.000105522,-0.000164683,-0.000114806,1.79277e-05,4.12431e-05,-5.17221e-05,-6.43134e-05,2.72867e-05,4.61162e-05,-2.11713e-05,-1.31991e-05,6.81858e-05,7.58798e-05,1.84197e-05,1.71115e-05,9.82369e-05,0.000141808,1.22536e-05,-0.00014458,-0.000132926,-8.70692e-06,6.3339e-05,5.13134e-05,1.40461e-06,-7.71953e-05,-0.00015473,-0.000152219,-6.68833e-05,-1.46244e-05,-6.09083e-05,-0.000116484,-9.76314e-05,-5.96794e-05,-4.8431e-05,1.11701e-05,0.0001268,0.000151237,4.24104e-05,-4.09979e-05,-3.50641e-05,-5.68043e-05,-0.000106689,-4.48141e-05,7.90952e-05,5.23124e-05,-0.000118271,-0.000209065,-0.000151189,-8.43661e-05,-8.59668e-05,-9.81592e-05,-7.16225e-05,-2.28944e-05,2.52895e-06,-2.19619e-05,-5.08914e-05,-2.01722e-05,2.57359e-05,7.2346e-06,-1.07259e-05,7.04765e-05,0.00016131,0.000126225,3.07191e-05,6.15605e-06,3.76131e-05,7.06896e-05,0.000107982,0.000101224,5.53826e-06,-6.89675e-05,-3.05141e-05,3.30389e-07,-6.41774e-05,-7.9006e-05,3.90062e-05,0.0001216,6.25711e-05
[4;1] Real,-1.96901e-05,6.2869e-06,6.85245e-05,5.1118e-05,-2.06375e-05,-8.09149e-06,7.22989e-05,7.22166e-05,7.51239e-06,2.68549e-05,0.00011051,0.00011712,5.41097e-05,1.06998e-05,-2.38609e-05,-4.17866e-05,3.27438e-05,0.000120868,5.82986e-05,-6.18631e-05,-3.20743e-05,5.50668e-05,8.39383e-06,-3.78036e-05,9.91262e-05,0.000239482,0.000179187,6.89324e-05,6.92488e-05,6.68508e-05,5.8964e-06,1.57324e-05,6.99532e-05,1.42991e-05,-7.43752e-05,-3.58031e-05,2.16955e-05,-3.83127e-05,-6.30061e-05,6.62903e-05,0.000148253,4.8586e-05,-1.5706e-05,0.00012103,0.000260718,0.000187554,8.82933e-06,-6.29262e-05,-2.85932e-05,-2.16652e-05,-6.13748e-05,-5.21175e-05,2.79603e-05,8.37844e-05,6.59728e-05,4.59576e-05,6.43741e-05,3.63108e-05,-8.51014e-05,-0.00017553,-0.000108882,3.77878e-05,9.14098e-05,2.22309e-05,6.58171e-05,1.6025e-05,-9.59505e-07,-3.97094e-06,-2.05385e-05,-4.96563e-05,-7.71098e-05,-7.65253e-05,-2.4808e-05,4.92315e-05,7.13227e-05,4.40628e-06,-9.823e-05,-0.000139703,-7.93475e-05,2.54672e-05,9.20068e-05,9.80491e-05,6.39567e-05,9.07273e-06,-2.58632e-05,2.07813e-06,5.20764e-05,3.78543e-05,-3.29823e-05,-8.02348e-05,-8.57831e-05,-8.09004e-05,-6.70883e-05,-5.2941e-05,-6.17153e-05,-5.15477e-05,2.33672e-05,8.72557e-05,5.456e-05,-1.07048e-05,-1.8797e-05,-8.28003e-07,3.04665e-06,1.60932e-05,1.37987e-05,-3.97065e-05,-5.35355e-05,4.8124e-05,0.000134411,7.11404e-05,-3.5125e-05,-4.12121e-05,-1.87653e-05,-6.93816e-05,-0.0001058,-3.64745e-05,3.85574e-05,1.06033e-05,-4.6374e-05,-3.3727e-05,-4.0708e-06,-2.68398e-05,-3.69933e-05,2.98527e-05,8.95653e-05,4.9186e-05,-2.4444e-05,-2.50119e-05
[4;1] Imag,-1.75073e-05,4.10959e-05,7.32144e-05,1.27424e-05,-2.9503e-05,3.32853e-05,8.72701e-05,3.82141e-05,1.97517e-06,7.00174e-05,0.000127987,8.77925e-05,2.80164e-05,-5.49105e-06,-3.99237e-05,-1.68228e-05,8.76167e-05,0.000110829,-1.09063e-05,-6.89363e-05,2.11202e-05,4.8705e-05,-3.29906e-05,1.07038e-05,0.000189198,0.000232102,0.000113376,5.83414e-05,7.84153e-05,3.59654e-05,-3.24331e-06,4.93356e-05,5.80499e-05,-4.01269e-05,-7.06912e-05,4.8045e-06,2.53033e-06,-6.97442e-05,-1.06166e-05,0.000129857,0.000113821,-6.48601e-06,3.25567e-05,0.000210315,0.000251812,9.49554e-05,-4.66415e-05,-4.98604e-05,-1.62722e-05,-4.15265e-05,-6.75417e-05,-1.6091e-05,6.48472e-05,8.14747e-05,5.08438e-05,5.33816e-05,6.28216e-05,-1.67752e-05,-0.000145752,-0.000162447,-3.32501e-05,8.30598e-05,6.59071e-05,-2.33023e-05,3.79795e-05,3.45343e-06,-1.69699e-06,-1.029e-05,-3.42124e-05,-6.45984e-05,-8.26623e-05,-5.71083e-05,1.42133e-05,7.10348e-05,4.72451e-05,-4.84157e-05,-0.000131163,-0.000120997,-2.668e-05,6.70918e-05,0.000101387,8.45134e-05,3.77398e-05,-1.45326e-05,-2.00841e-05,3.06521e-05,5.59054e-05,4.02045e-06,-6.29876e-05,-8.56778e-05,-8.40377e-05,-7.58619e-05,-5.7494e-05,-5.50846e-05,-6.43343e-05,-2.02314e-05,6.5023e-05,8.21627e-05,1.79669e-05,-2.22163e-05,-8.71166e-06,1.72718e-06,7.96065e-06,2.10099e-05,-9.26165e-06,-6.00252e-05,-1.35924e-05,0.000105775,0.000120586,1.07869e-05,-5.16103e-05,-2.36148e-05,-3.58435e-05,-9.91919e-05,-8.24245e-05,1.10653e-05,3.68743e-05,-2.35812e-05,-4.86642e-05,-1.39347e-05,-1.03896e-05,-4.03422e-05,-1.08745e-05,6.89391e-05,8.14095e-05,8.23012e-06,-3.55543e-05,-4.2744e-06
[4;2] Real,4.5166e-05,1.54184e-06,1.4391e-05,9.90253e-05,0.00014403,0.000118133,6.19442e-05,-1.8592e-05,-8.00974e-05,-4.5135e-05,2.40147e-05,-6.8123e-06,-8.07776e-05,-3.62178e-05,7.90382e-05,7.70507e-05,-4.26402e-05,-0.00010579,-4.82344e-05,2.63338e-05,3.35179e-05,7.0686e-06,1.8623e-05,6.99252e-05,9.07966e-05,4.51747e-05,-4.69858e-06,9.654e-06,5.51363e-05,5.64153e-05,1.79282e-05,3.58333e-06,2.74125e-05,4.26314e-05,2.37409e-05,-4.66573e-06,-1.95208e-05,-3.17859e-05,-5.4432e-05,-6.42341e-05,-2.41032e-05,4.3871e-05,4.28219e-05,-7.25565e-05,-0.000176366,-0.00010536,8.53038e-05,0.000173316,9.35668e-05,3.62062e-07,-1.32528e-05,-1.75538e-05,-5.19594e-05,-6.82013e-05,-6.11161e-05,-5.38439e-05,-1.69137e-05,3.82887e-05,1.71811e-05,-8.65134e-05,-0.000148305,-0.000106508,-2.04048e-05,4.8908e-05,8.91821e-05,2.63641e-05,-2.64263e-05,7.71569e-06,4.68841e-05,1.65304e-06,-6.01729e-05,-4.66948e-05,-8.99452e-06,-2.2114e-05,-2.91565e-05,4.19415e-05,0.000125776,0.000123454,5.76916e-05,1.64195e-05,2.69149e-05,5.61752e-05,6.74616e-05,4.19814e-05,-6.91787e-06,-4.08457e-05,-4.43028e-05,-3.49013e-05,-1.92667e-05,4.47914e-06,1.03161e-05,-1.50666e-05,-2.50999e-05,2.58434e-06,-8.92531e-06,-0.00010513,-0.000166996,-7.2123e-05,7.8421e-05,9.01294e-05,-2.38929e-05,-9.04004e-05,-7.61885e-05,-9.5568e-05,-0.000148948,-0.000118868,-2.35145e-05,-1.28738e-05,-9.79381e-05,-0.000128032,-5.68558e-05,-4.96237e-06,-3.29927e-05,-5.27567e-05,2.85859e-06,7.80443e-05,9.2854e-05,3.60368e-05,-5.59525e-05,-0.000137782,-0.000168138,-0.000135101,-6.94906e-05,-2.79507e-06,6.92031e-05,0.000141077,0.000150374,5.59555e-05
[4;2] Imag,2.41403e-05,-4.92028e-06,5.47783e-05,0.000131559,0.000136909,9.30258e-05,2.42522e-05,-5.79822e-05,-7.52365e-05,-4.63556e-06,2.34742e-05,-5.0069e-05,-7.71876e-05,2.49248e-05,9.97423e-05,2.20896e-05,-9.08937e-05,-8.78786e-05,-4.62005e-06,3.85842e-05,1.89582e-05,5.89512e-06,4.30948e-05,8.83621e-05,7.44827e-05,1.49717e-05,-6.43123e-06,3.40747e-05,6.39616e-05,3.78168e-05,4.53845e-06,1.36154e-05,3.91007e-05,3.61429e-05,8.73417e-06,-1.3385e-05,-2.49297e-05,-4.24461e-05,-6.33817e-05,-5.12983e-05,1.1351e-05,5.83684e-05,-4.4913e-06,-0.000138867,-0.000165879,-1.13559e-05,0.000152834,0.000147432,3.8261e-05,-1.44417e-05,-1.10728e-05,-3.30593e-05,-6.4945e-05,-6.55186e-05,-5.79943e-05,-4.10166e-05,1.33978e-05,4.20611e-05,-3.0626e-05,-0.000130493,-0.000138229,-6.3867e-05,1.8803e-05,6.25169e-05,6.49471e-05,-9.8914e-06,-1.82039e-05,3.55642e-05,3.38453e-05,-3.5559e-05,-6.27732e-05,-2.39296e-05,-9.75863e-06,-3.31711e-05,-2.73729e-06,9.01756e-05,0.00013761,9.25275e-05,2.97836e-05,1.69767e-05,4.20975e-05,6.53008e-05,5.93626e-05,1.86295e-05,-2.79853e-05,-4.58603e-05,-3.9815e-05,-2.83765e-05,-7.71961e-06,1.20531e-05,-2.28739e-07,-2.60394e-05,-1.27705e-05,8.26923e-06,-5.07786e-05,-0.000151775,-0.000138179,1.02474e-05,0.00010711,3.83344e-05,-7.06474e-05,-8.69924e-05,-7.6713e-05,-0.000125282,-0.000148746,-7.00523e-05,-9.47451e-07,-5.2023e-05,-0.000128077,-9.90723e-05,-2.06931e-05,-1.26176e-05,-5.06563e-05,-3.31301e-05,4.37182e-05,9.55898e-05,7.19783e-05,-8.69696e-06,-0.000101212,-0.000160782,-0.000158409,-0.000104068,-3.55774e-05,3.18942e-05,0.000107587,0.000158394,0.000114255,-7.72166e-06
[4;3] Real,-4.98452e-05,-6.19354e-05,-4.13142e-05,1.49938e-05,2.59546e-05,-1.24488e-05,-2.18701e-05,7.71976e-06,3.76435e-05,6.56728e-05,7.58742e-05,4.80995e-05,4.70742e-05,0.000113969,0.0001373,4.72247e-05,-2.19458e-05,1.67675e-05,3.0484e-05,-5.04782e-05,-8.02112e-05,-1.82387e-08,4.32561e-05,1.68377e-06,7.02697e-07,5.21867e-05,3.19308e-05,-5.80319e-05,-0.00010097,-7.49754e-05,-2.34208e-05,4.84674e-05,8.93953e-05,1.13155e-05,-0.000118516,-0.000125031,-9.68838e-06,4.89505e-05,-1.69609e-05,-9.17361e-05,-7.59309e-05,-1.10263e-07,3.6647e-05,-3.03306e-05,-0.000146994,-0.000173765,-7.10055e-05,2.81778e-05,1.6657e-05,-3.6888e-05,-3.38548e-05,-2.5181e-06,-6.02054e-06,-1.9899e-05,1.85181e-06,3.20498e-05,1.95949e-05,-2.1984e-05,-3.28636e-05,3.09431e-06,3.19722e-05,1.46893e-05,-7.15183e-06,9.51487e-06,1.99993e-05,2.83681e-05,-1.65095e-05,-4.01247e-05,-3.40921e-05,-5.09097e-05,-8.47311e-05,-7.9051e-05,-3.74628e-05,-2.80027e-05,-6.7206e-05,-8.21316e-05,-2.95925e-05,2.36544e-05,1.48332e-05,-4.42432e-06,2.00185e-05,2.26645e-05,-4.86115e-05,-9.23658e-05,-1.94933e-05,6.20583e-05,1.94656e-05,-7.00015e-05,-5.63679e-05,2.58365e-05,4.02885e-05,-1.12454e-05,-2.56788e-05,7.10719e-06,1.70325e-05,-1.17007e-05,-5.01843e-05,-8.74949e-05,-9.92971e-05,-6.08179e-05,-2.55952e-05,-5.01974e-05,-6.20597e-05,1.52398e-05,8.04731e-05,2.01859e-05,-6.20878e-05,-2.45205e-05,5.65921e-05,5.11038e-05,1.56281e-05,4.06247e-05,5.34521e-05,-1.5456e-05,-6.30702e-05,5.78822e-06,0.000104551,0.000122321,9.56054e-05,9.48479e-05,8.28894e-05,7.81757e-06,-8.09174e-05,-0.000115498,-0.000105322,-7.12601e-05,-5.83728e-06,4.37201e-05
[4;3] Imag,-5.61939e-05,-5.87621e-05,-1.3002e-05,2.9844e-05,8.2355e-06,-2.41454e-05,-9.38192e-06,2.38839e-05,5.19212e-05,7.51132e-05,6.47025e-05,3.88402e-05,7.5931e-05,0.000139944,0.00010188,-8.94935e-07,-1.14625e-05,3.72803e-05,-4.40413e-06,-8.20384e-05,-4.66135e-05,3.55437e-05,2.58875e-05,-1.0291e-05,2.81693e-05,5.58219e-05,-1.23452e-05,-8.98103e-05,-9.30384e-05,-5.19535e-05,1.06825e-05,8.00851e-05,6.61079e-05,-5.92106e-05,-0.000143423,-7.2364e-05,3.62772e-05,2.69001e-05,-6.23193e-05,-9.6264e-05,-3.94895e-05,2.92841e-05,1.5736e-05,-9.08646e-05,-0.000178377,-0.000133247,-1.07351e-05,3.60329e-05,-1.32251e-05,-4.41249e-05,-1.61676e-05,1.01368e-06,-1.60669e-05,-1.37046e-05,2.02552e-05,3.20981e-05,-1.47925e-06,-3.3899e-05,-1.84006e-05,2.22296e-05,2.839e-05,2.25855e-07,-3.20266e-06,2.06446e-05,3.38345e-05,7.93682e-06,-3.41111e-05,-3.76225e-05,-3.76797e-05,-6.90816e-05,-8.92273e-05,-5.91033e-05,-2.47096e-05,-4.47405e-05,-8.34171e-05,-6.21158e-05,3.55268e-06,2.594e-05,5.61819e-07,4.27329e-06,3.04125e-05,-7.15578e-06,-8.30198e-05,-6.81827e-05,3.15867e-05,5.70889e-05,-3.08187e-05,-7.97965e-05,-1.4278e-05,4.65651e-05,1.57908e-05,-2.75834e-05,-1.03769e-05,1.81639e-05,5.13091e-06,-3.07389e-05,-6.92969e-05,-9.94754e-05,-8.52025e-05,-3.68605e-05,-3.19254e-05,-6.57433e-05,-3.21881e-05,6.01474e-05,6.45599e-05,-3.03818e-05,-5.88823e-05,2.14033e-05,6.58644e-05,2.87369e-05,2.12095e-05,5.64169e-05,2.66464e-05,-5.16997e-05,-4.20106e-05,6.13421e-05,0.000124881,0.000107894,9.18321e-05,9.56944e-05,5.22068e-05,-4.06727e-05,-0.000105701,-0.000113776,-9.21713e-05,-4.1302e-05,2.68817e-05,3.63746e-05
